Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-28,0.0035000001080334187,0.003515999997034669,0.0033420000690966845,0.003421999979764223,6508132,0,0
2019-04-29,0.003418999956920743,0.003473999910056591,0.0026839999482035637,0.0026839999482035637,6393194,0,0
2019-04-30,0.00267699989490211,0.0038980001118034124,0.0026740001048892736,0.003435000078752637,19232671,0,0
2019-05-01,0.003406000090762973,0.0035830000415444374,0.0031169999856501818,0.003350999904796481,8095722,0,0
2019-05-02,0.0033450000919401646,0.0036009999457746744,0.0031419999431818724,0.0032210000790655613,5152416,0,0
2019-05-03,0.003217000048607588,0.003343000076711178,0.0030350000597536564,0.0032309999223798513,4328853,0,0
2019-05-04,0.0032309999223798513,0.0032369999680668116,0.0028989999555051327,0.003011999884620309,2413267,0,0
2019-05-05,0.0030129998922348022,0.003085999982431531,0.002715999959036708,0.0028490000404417515,2636750,0,0
2019-05-06,0.002848000032827258,0.003002000041306019,0.002684999955818057,0.0028780000284314156,3580170,0,0
2019-05-07,0.002877000020816922,0.0029360000044107437,0.0025629999581724405,0.002575000049546361,2912641,0,0
2019-05-08,0.002558999927714467,0.00267699989490211,0.0024949999060481787,0.0025760000571608543,2258474,0,0
2019-05-09,0.002575000049546361,0.002597999991849065,0.0023129999171942472,0.0024139999877661467,3526866,0,0
2019-05-10,0.0024160000029951334,0.0029929999727755785,0.0023799999617040157,0.002899999963119626,6658213,0,0
2019-05-11,0.0029039999935775995,0.0038040000945329666,0.002870999975129962,0.003544999985024333,10285910,0,0
2019-05-12,0.00355300004594028,0.004389000125229359,0.0034179999493062496,0.00405400013551116,13803541,0,0
2019-05-13,0.00405400013551116,0.007081999909132719,0.00394000019878149,0.006686999928206205,57325568,0,0
2019-05-14,0.00659500015899539,0.008628999814391136,0.005621000193059444,0.006006000097841024,75962592,0,0
2019-05-15,0.0059899999760091305,0.007797999773174524,0.005501000210642815,0.007404000032693148,38271908,0,0
2019-05-16,0.007433000020682812,0.009355000220239162,0.00649499986320734,0.008523999713361263,46237819,0,0
2019-05-17,0.008488000370562077,0.011854000389575958,0.0072929998859763145,0.011284000240266323,132393186,0,0
2019-05-18,0.011284000240266323,0.011634999886155128,0.00950700044631958,0.00966500025242567,44522525,0,0
2019-05-19,0.0096859997138381,0.016302000731229782,0.009677999652922153,0.01589200086891651,111105986,0,0
2019-05-20,0.01589200086891651,0.025860000401735306,0.015149000100791454,0.0230529997497797,311585980,0,0
2019-05-21,0.023057999089360237,0.035378001630306244,0.019798999652266502,0.02317900024354458,549412641,0,0
2019-05-22,0.02317900024354458,0.02486499957740307,0.016124999150633812,0.0175199992954731,210337405,0,0
2019-05-23,0.0175199992954731,0.02680700086057186,0.01727999933063984,0.021536000072956085,331202196,0,0
2019-05-24,0.02165899984538555,0.022583000361919403,0.01808599941432476,0.019948000088334084,118727790,0,0
